timestamp,joint_positions,joint_velocities,eef_position,eef_orientation,gripper_action,gripper_goal_state
1750851650.7798998,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.40576297,0.19983812,0.03398607","0.99880487,-0.021153938,-0.003720512,-0.04384812",0.0,closed
1750851650.8298876,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.40784362,0.20019792,0.035897534","0.9987737,-0.021236937,-0.00065246556,-0.04466333",0.0,closed
1750851650.8798277,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.41168937,0.20071451,0.039716784","0.9987058,-0.021341957,0.0049663205,-0.045844533",0.0,closed
1750851650.9298537,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.4174482,0.20115016,0.045771863","0.99855876,-0.021655034,0.01330968,-0.047216974",0.0,closed
1750851650.9798455,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.42498082,0.20110162,0.054231893","0.9982857,-0.022309145,0.024203967,-0.048345167",0.0,closed
1750851651.0298073,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.43396488,0.19995625,0.06507695","0.99781084,-0.02374921,0.037484434,-0.0489858",0.0,closed
1750851651.0798264,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.44424486,0.19706208,0.077975154","0.99703085,-0.02660906,0.052948333,-0.04912314",0.0,closed
1750851651.129789,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.45525455,0.19171214,0.09235545","0.9959129,-0.030829601,0.06975079,-0.04834219",0.0,closed
1750851651.1799765,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.46654996,0.18358487,0.107853845","0.994433,-0.036471352,0.087244,-0.046438895",0.0,closed
1750851651.2297952,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.47768715,0.17235246,0.123788446","0.992627,-0.043365452,0.1045827,-0.043228496",0.0,closed
1750851651.2798052,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.4884889,0.15808053,0.1396825","0.9906038,-0.050445106,0.12110482,-0.038577206",0.0,closed
1750851651.3297887,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.4984669,0.14136326,0.15519153","0.9884339,-0.05713279,0.1365628,-0.032863762",0.0,closed
1750851651.379972,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5069634,0.1229807,0.16950595","0.98640877,-0.06270803,0.14962183,-0.02596084",0.0,closed
1750851651.4298532,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5134245,0.1025718,0.18161501","0.9848775,-0.06816023,0.15833484,-0.017195744",0.0,closed
1750851651.4798095,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5171098,0.080979936,0.19072668","0.98430985,-0.071948834,0.16097654,-0.006264268",0.0,closed
1750851651.5297875,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.51822495,0.05807901,0.19670466","0.98469573,-0.07471772,0.15731038,0.0063358434",0.0,closed
1750851651.5800154,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5181064,0.03497673,0.20087358","0.9856754,-0.07506348,0.14979513,0.019133672",0.0,closed
1750851651.629792,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5184626,0.012126338,0.20476547","0.98663956,-0.073496014,0.1421317,0.030568205",0.0,closed
1750851651.679848,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5199914,-0.010462952,0.20870271","0.98739135,-0.072365314,0.13495685,0.040042188",0.0,closed
1750851651.7298086,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5216955,-0.032710552,0.21185729","0.9882079,-0.07096083,0.12662879,0.048683222",0.0,closed
1750851651.779924,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5232659,-0.054457396,0.21412858","0.9892627,-0.06782863,0.11622228,0.056975354",0.0,closed
1750851651.829789,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.52451724,-0.07536179,0.21553075","0.99053115,-0.063055575,0.10363201,0.06424666",0.0,closed
1750851651.8797884,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.52631843,-0.09413583,0.2162754","0.9918717,-0.05709102,0.090658225,0.06861049",0.0,closed
1750851651.9297853,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5290041,-0.11079546,0.2163972","0.9931905,-0.051280912,0.078270674,0.06936686",0.0,closed
1750851651.9799948,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5325157,-0.1257052,0.21560182","0.99442214,-0.046987075,0.0671536,0.06635042",0.0,closed
1750851652.0297868,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5369023,-0.13866693,0.21397735","0.9955823,-0.043559123,0.05737935,0.0601774",0.0,closed
